"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000197170",130.516928201664,-0.129298290199035,0.296712759683975,-0.435769227911699,0.663004172327049,0.997528070348248
"ENSG00000197183",111.200943971197,0.160169008390496,0.307259228817633,0.521282986378778,0.602169651270362,0.997528070348248
"ENSG00000197258",181.282697336729,-0.193567011012384,0.287367054985973,-0.6735880388997,0.50057325968213,0.997528070348248
"ENSG00000197324",633.575906664383,0.0307139956660952,0.225445361877044,0.136236981814007,0.891633940443961,0.997528070348248
"ENSG00000197343",315.249227713144,-0.0941927129979507,0.246471231351407,-0.382165141471036,0.702338876078114,0.997528070348248
"ENSG00000197375",242.605725217679,-0.0169175702238931,0.261970152425652,-0.064578235601456,0.948509814004615,0.997528070348248
"ENSG00000197381",240.423987964415,-0.185929326282687,0.275677206241645,-0.674445772349096,0.500027950673512,0.997528070348248
"ENSG00000197386",350.220538921148,-0.21188495926274,0.237685815516914,-0.891449743443616,0.372687941628677,0.997528070348248
"ENSG00000197451",267.15436804552,0.0758320613556804,0.256632911867984,0.295488450034381,0.767620774198454,0.997528070348248
"ENSG00000197461",171.543380837441,-0.143197044457586,0.272962753923902,-0.524602871267582,0.599859290313787,0.997528070348248
"ENSG00000197530",191.21565030502,-0.0925429141993601,0.270866728649598,-0.341654785955925,0.732610702182635,0.997528070348248
"ENSG00000197555",192.180109356564,-0.045985010464138,0.309726675188502,-0.148469648073261,0.881972137786217,0.997528070348248
"ENSG00000197586",570.430945698837,-0.157373709476534,0.228504803954318,-0.68871072622174,0.491005324844896,0.997528070348248
"ENSG00000197622",595.312242021086,-0.121172734644228,0.22802109390808,-0.531410197922635,0.595134556205587,0.997528070348248
"ENSG00000197635",673.259020831822,0.154188240118356,0.318617503389995,0.483928969619807,0.628436279925016,0.997528070348248
"ENSG00000197694",963.849878408992,0.125180964127075,0.21474615166954,0.582925296466818,0.559943590578891,0.997528070348248
"ENSG00000197712",316.440447457304,-0.093549146903927,0.244028255621734,-0.383353750022033,0.701457490828101,0.997528070348248
"ENSG00000197724",281.759583257036,-0.197429127502795,0.256681143618238,-0.7691610093355,0.441797733879131,0.997528070348248
"ENSG00000197746",4468.46729774496,-0.0259666613739,0.203242367958016,-0.127762048999862,0.898337284377728,0.997528070348248
"ENSG00000197747",233.930433401831,0.0419482905136367,0.26905827536164,0.155907825013946,0.87610567726881,0.997528070348248
"ENSG00000197771",160.897545152382,0.209392066889756,0.282854933130059,0.74028076715026,0.459129648539368,0.997528070348248
"ENSG00000197818",168.088315733831,0.0672797349366128,0.278321908707061,0.241733520904479,0.808986653785945,0.997528070348248
"ENSG00000197879",768.769102549435,0.0114108127413684,0.216671194340848,0.0526641890542123,0.95799947240479,0.997528070348248
"ENSG00000197894",309.267425927045,0.167775990353483,0.252942782453819,0.663296215554656,0.507140859867466,0.997528070348248
"ENSG00000197912",316.521384355649,-0.0198168896346736,0.239670011005179,-0.0826840602692065,0.93410275953051,0.997528070348248
"ENSG00000197961",143.889469065576,-0.190905801973198,0.292710923345223,-0.652199104124458,0.514272737819103,0.997528070348248
"ENSG00000197965",333.849106960771,-0.0135871251229735,0.254305915470038,-0.053428270033987,0.957390681145065,0.997528070348248
"ENSG00000197976",299.428625189583,0.11642752909731,0.242082099233444,0.480942330994232,0.630557486006682,0.997528070348248
"ENSG00000198000",108.800681726039,-0.0106963014580403,0.313062103075013,-0.034166707988534,0.972744214209189,0.997528070348248
"ENSG00000198015",137.955525163776,-0.105640327941613,0.286248052510719,-0.369051691408998,0.712089195811686,0.997528070348248
"ENSG00000198026",143.497200441082,-0.225890829937925,0.283729076189679,-0.796149738939381,0.425945007011252,0.997528070348248
"ENSG00000198060",174.707389285378,-0.142971899302002,0.27664333830464,-0.516809478146772,0.605289162968975,0.997528070348248
"ENSG00000198089",123.201680649589,0.203610219718147,0.301211111247927,0.675971808857195,0.499058543934896,0.997528070348248
"ENSG00000198105",118.295115796137,-0.07004248209925,0.312512293720155,-0.224127125577885,0.822658386165463,0.997528070348248
"ENSG00000198160",154.300824706723,0.0379055054181507,0.286106381321471,0.132487451845962,0.894598747509702,0.997528070348248
"ENSG00000198168",134.936990273833,-0.0496538764580532,0.290252572611567,-0.17107127082902,0.864167725402108,0.997528070348248
"ENSG00000198171",167.763433740581,0.065408895079013,0.273773442620997,0.238916143409727,0.811170607379119,0.997528070348248
"ENSG00000198176",154.323606003509,-0.199114362173553,0.29664432796464,-0.671222549710397,0.502078765488406,0.997528070348248
"ENSG00000198189",143.558738102335,-0.0435179889341567,0.334357150726131,-0.130154204387876,0.896444425898868,0.997528070348248
"ENSG00000198198",276.360279895483,-0.13379550580053,0.246458381001018,-0.542872615072391,0.58721751210351,0.997528070348248
"ENSG00000198218",270.558764324983,0.0403666501213223,0.25018022120293,0.161350285515095,0.871817519945674,0.997528070348248
"ENSG00000198265",176.014058425471,-0.0986341967492155,0.269649350461201,-0.365786887973267,0.714524104736839,0.997528070348248
"ENSG00000198276",159.165475933293,-0.187702291104259,0.277498540353172,-0.676408210527417,0.498781505774553,0.997528070348248
"ENSG00000198315",183.647060803182,0.0765255892893642,0.266905975360868,0.286713660815942,0.774331576736747,0.997528070348248
"ENSG00000198355",278.858751671243,-0.128338565845743,0.247831481411827,-0.517846098948504,0.604565651739506,0.997528070348248
"ENSG00000198356",144.210586092843,-0.134151576299836,0.294999822758776,-0.454751379323821,0.64928811272812,0.997528070348248
"ENSG00000198369",127.102632663807,0.117537960027723,0.294356036843062,0.399305416964793,0.689668176196568,0.997528070348248
"ENSG00000198373",282.613532004274,-0.189164764876674,0.258627784470626,-0.731417025683714,0.464524468950046,0.997528070348248
"ENSG00000198408",818.085445785472,-0.0785633415000568,0.219409436265391,-0.358067286609446,0.720292959659619,0.997528070348248
"ENSG00000198420",139.498130233258,-0.231445280362466,0.293130718827162,-0.789563377350882,0.42978280322902,0.997528070348248
"ENSG00000198431",285.109915834772,0.0880985040681265,0.260432005282744,0.338278330931255,0.735153451608291,0.997528070348248
"ENSG00000198492",146.242331073075,0.13408702332912,0.293489241083914,0.456872023089875,0.647763033973274,0.997528070348248
"ENSG00000198521",104.893030444476,-0.242963258545763,0.312431133594272,-0.777653800857371,0.436773134727168,0.997528070348248
"ENSG00000198561",1594.9514157992,-0.183436751247068,0.205682520439916,-0.891844143365862,0.372476477170955,0.997528070348248
"ENSG00000198563",725.588514021279,0.0465524715530069,0.216361860939451,0.215160247517165,0.829642382945347,0.997528070348248
"ENSG00000198585",248.669537614802,-0.0363891536413081,0.249862082390228,-0.145636958169893,0.884207990626671,0.997528070348248
"ENSG00000198604",153.607282757917,-0.0714044951892297,0.312867036878176,-0.228226328672116,0.819470294178506,0.997528070348248
"ENSG00000198618",164.468758154895,-0.142720700608919,0.274450353224811,-0.520023745394899,0.603047025011441,0.997528070348248
"ENSG00000198625",393.43255380845,-0.210165932891707,0.240928720579408,-0.872315813516466,0.383036113093239,0.997528070348248
"ENSG00000198646",255.73966188163,-0.0830996489853666,0.2496134794603,-0.332913307266258,0.739199724133945,0.997528070348248
"ENSG00000198663",517.842938969651,-0.0363505547758369,0.225524570618877,-0.161182236933586,0.871949871061029,0.997528070348248
"ENSG00000198668",1196.85614804295,0.110537520279927,0.214325739386483,0.515745428413523,0.606032221500539,0.997528070348248
"ENSG00000198700",293.78078582008,-0.0677736622722502,0.242963821850359,-0.278945489728063,0.780286657739886,0.997528070348248
"ENSG00000198721",160.326934484748,-0.238514933296085,0.281215759588614,-0.848156353843769,0.396350900764735,0.997528070348248
"ENSG00000198727",25000.2541304927,0.167649621869715,0.198551871688284,0.844361830710494,0.398467244608412,0.997528070348248
"ENSG00000198728",342.516103672939,0.17511522762472,0.243028545048337,0.720554153792472,0.471183869746494,0.997528070348248
